category	paragraph_1	paragraph_2	len_pargraph_1	is_plagiarism	plagiarism_type	cleaned_paragraph_1	cleaned_paragraph_2
health	Deadliness itself isn’t that uncommon: SARS, or severe acute respiratory syndrome, which terrorised China in 2002 and 2003, killed 10 per cent of its victims; Ebola kills 60-90 per cent; untreated rabies kills close to 100 per cent, as does untreated pneumonic plague, caused by Yersinia pestis, the bacterial agent of the Black Death, the worst pandemic in human history. But to be both deadly and efficiently transmissible requires exacting circumstances. Even the Black Death – thought to come originally from Central Asian marmots – must have evolved in a chain of human-to-human transmission to become as lethally and effective as it was.	lethality itself isn’t that uncommon: severe acute respiratory syndrome surgery severe sharp metabolic process syndrome which terrorised Red China in 2002 and 2003 killed 10 per penny of its victims Ebola kills 60-90 per cent untreated lyssa kills close to 100 per penny equally does untreated pneumonic plague caused aside Yersinia pestis the micro-organism agentive role of the dark destruction the worst epidemic in human history simply to follow both devilishly and expeditiously transmissible requires exigent fate level the Afro-American destruction – sentiment to arrive in the beginning from Central Asian marmots – must have evolved in A chain of human-to-human transmission to become atomic number 3 lethally and effective As it was 	3	True	structural change	deadli isnt uncommon sever acut respiratori syndrom terroris china 2002 2003 kill 10 per cent victim ebola kill 60-90 per cent untreat rabi kill close 100 per cent untreat pneumon plagu caus yersinia pesti bacteri agent black death worst pandem human histori deadli effici transmiss requir exact circumst even black death thought come origin central asian marmot must evolv chain human-to-human transmiss becom lethal effect	lethal isnt uncommon sever acut respiratori syndrom surgeri sever sharp metabol process syndrom terroris red china 2002 2003 kill 10 per penni victim ebola kill 60-90 per cent untreat lyssa kill close 100 per penni equal untreat pneumon plagu caus asid yersinia pesti micro-organ agent role dark destruct worst epidem human histori simpli follow devilishli expediti transmiss requir exig fate level afro-american destruct sentiment arriv begin central asian marmot must evolv chain human-to-human transmiss becom atom number 3 lethal effect
economy	I use a multivariable regression model to look for a correlation between a manufacturing firm’s exposure to Israeli security restrictions, in the form of the controlled dual-use items list and import restrictions, and a decrease in output. Next, the project compares security related costs such as costs due to increased wait times, increased transportation costs, storage fees, and security inspection costs when Palestinian importers import through Israeli vs the Jordanian Ports The project uses dependency theory to show how Israeli security and economic concerns limit the growth potential of the Palestinian economy	Additionally, the wealth of natural resources available to Latin American nations, combined with their relatively small populations, provided an easy alternative to the difficult task of industrialization. The timing and manner of Latin America’s involvement with the world economy and relative economic position within it was structurally different from that of many High-Performing East Asian Countries (HPEA)	2	False	non-plagiarism	use multivari regress model look correl manufactur firm exposur isra secur restrict form control dual-us item list import restrict decreas output next project compar secur relat cost cost due increas wait time increas transport cost storag fee secur inspect cost palestinian import import isra vs jordanian port project use depend theori show isra secur concern limit growth potenti palestinian economi	addit wealth natur resourc avail latin american nation combin rel small popul provid easi altern difficult task industri time manner latin america involv world economi rel posit within structur differ mani high-perform east asian countri hpea
economy	Japan’s rapid economic growth due to its strong and unique labor system following a long period of isolation is unique among advanced industrialized nations. The roots of growth started with the Edo period under Tokugawa rule (1603-1867)	The Gini-coefficient is the dependent variable and is intended to measure income inequality. It does this by plotting the distribution of a given country’s income on a Lorenz curve and then deducting the area occupied by the curve from the line of equality (Mcgreevey, 2013)	2	False	non-plagiarism	japan rapid growth due strong uniqu labor system follow long period isol uniqu among advanc industri nation root growth start edo period tokugawa rule 1603-1867	gini-coeffici depend variabl intend measur incom inequ plot distribut given countri incom lorenz curv deduct area occupi curv line equal mcgreevey 2013
economy	While increased growth of a middle class and currency interactions were important to the demise of European feudalism, the European enlightenment movement in the 18th century was the biggest stifling factor of the feudal system.	In addition to the political turmoil, economic instability also emerged. Economic indicators demonstrated that the economy had contracted by 3.8 per cent in 2015, while inflation had escalated to 10.67 per cent (see figures 3 and 4)	1	False	non-plagiarism	increas growth middl class currenc interact import demis european feudal european enlighten movement 18th centuri biggest stifl factor feudal system	addit polit turmoil instabl also emerg indic demonstr economi contract 3 8 per cent 2015 inflat escal 10 67 per cent see figur 3 4
environment	For calculating personal carbon footprints, several free online carbon footprint calculators exist including a few supported by publicly available peer-reviewed data and calculations including the University of California, Berkeley's CoolClimate Network research consortium and CarbonStory. These websites ask you to answer more or less detailed questions about your diet, transportation choices, home size, shopping and recreational activities, usage of electricity, heating, and heavy appliances such as dryers and refrigerators, and so on	2) and methane. Fossil fuel burning (coal, oil, and natural gas) for energy consumption is the main source of these emissions, with additional contributions from agriculture, deforestation, and manufacturing. The human cause of climate change is not disputed by any scientific body of national or international standing. Temperature rise is accelerated or tempered by climate feedbacks, such as loss of sunlight-reflecting snow and ice cover, increased water vapour (a greenhouse gas itself), and changes to land and ocean carbon sinks.	2	False	non-plagiarism	calcul person footprint sever free onlin footprint calcul exist includ support publicli avail peer-review data calcul includ univers california berkeley coolclim network research consortium carbonstori websit ask answer less detail question diet transport choic home size shop recreat activ usag electr heat heavi applianc dryer refriger	2 methan fossil fuel burn coal oil natur ga consumpt main sourc emiss addit contribut agricultur deforest manufactur human caus chang disput scientif bodi nation intern stand temperatur rise acceler temper feedback loss sunlight-reflect snow ice cover increas water vapour greenhous ga chang land ocean sink
geography	"""In common usage, """"environmental science"""" and """"ecology"""" are often used interchangeably, but technically, ecology refers only to the study of organisms and their interactions with each other as well as how they interrelate with environment. Ecology could be considered a subset of environmental science, which also could involve purely chemical or public health issues (for example) ecologists would be unlikely to study. In practice, there are considerable similarities between the work of ecologists and other environmental scientists. There is substantial overlap between ecology and environmental science with the disciplines of fisheries, forestry, and wildlife."""	"""In unwashed usage """"environmental science"""" and """"ecology"""" are a great deal used interchangeably simply technically environmental science refers exclusive to the branch of knowledg of organisms and their interactions with for each one another As well American Samoa how they interrelate with surroundings environmental science could follow considered vitamin A subset of biology skill which as wel could involve purely chemical substance OR open health issues (for example) ecologists would Be unlikely to study In do in that location are sizable similarities between the work of ecologists and separate environmental scientists in that location is essential overlap 'tween environmental science and situation science with the disciplines of fisheries forestry and wildlife """	4	True	structural change	common usag environment scienc ecolog often use interchang technic ecolog refer organ interact well interrel environ ecolog could consid subset environment scienc also could involv pure chemic public health issu exampl ecologist would unlik practic consider similar work ecologist environment scientist substanti overlap ecolog environment scienc disciplin fisheri forestri wildlif	unwash usag environment scienc ecolog great deal use interchang simpli technic environment scienc refer exclus branch knowledg organ interact one anoth well american samoa interrel surround environment scienc could follow consid vitamin subset biolog skill wel could involv pure chemic substanc open health issu exampl ecologist would unlik locat sizabl similar work ecologist separ environment scientist locat essenti overlap tween environment scienc situat scienc disciplin fisheri forestri wildlif
environment	"""A heat pump is a device that provides heat energy from a source of heat to a destination called a """"heat sink"""". Heat pumps are designed to move thermal energy opposite to the direction of spontaneous heat flow by absorbing heat from a cold space and releasing it to a warmer one"""	"""A heat ticker is a gimmick that provides heat Energy from a source of heat to letter a name and address titled A """"heat sink"""" Heat pumps ar designed to go under hot vigor opposite to the direction of spontaneous heat flow by riveting heat from a low temperature distance and releasing it to a warmer one"""	2	True	structural change	heat pump devic provid heat sourc heat destin call heat sink heat pump design move thermal opposit direct spontan heat flow absorb heat cold space releas warmer one	heat ticker gimmick provid heat sourc heat letter name address titl heat sink heat pump ar design go hot vigor opposit direct spontan heat flow rivet heat low temperatur distanc releas warmer one
technology	In 1999, he was diagnosed with throat cancer. That same year, Napster came along, followed by YouTube, in 2005	Then he had the Western A.P. blare Hayes’s campaign statements and mute Tilden’s	2	False	non-plagiarism	1999 diagnos throat cancer year napster came along follow youtub 2005	western p blare hayess campaign statement mute tilden
economy	Overall though, while partiality is given, the inner domain of culture is not entirely immune from DMV’s influence.	general though while fancy is given the inner land of culture is not exclusively immune from DMV’s influence 	1	True	structural change	overal though partial given inner domain cultur entir immun dmv influenc	gener though fanci given inner land cultur exclus immun dmv influenc
geography	Jens Jensen designed sophisticated and naturalistic urban and regional parks for Chicago, Illinois, and private estates for the Ford family including Fair Lane and Gaukler Point. One of the original eleven founding members of the American Society of Landscape Architects (ASLA), and the only woman, was Beatrix Farrand	Jens Jensen designed a sophisticated and naturalistic and naturalistic regional park for Chicago, Illinois, and Private Estates for Ford Family including Fair Lane and Gaikler Point. One of the original eleven founders of the American Society of Landscape Architects (ASLA), and the only woman, is Beatrix Farrand 	2	True	paraphrase	jen jensen design sophist naturalist urban region park chicago illinoi privat estat ford famili includ fair lane gaukler point one origin eleven found member american societi architect asla woman beatrix farrand	jen jensen design sophist naturalist naturalist region park chicago illinoi privat estat ford famili includ fair lane gaikler point one origin eleven founder american societi architect asla woman beatrix farrand
economy	By 1980, ten years later, the number of households dropped to 85,243. This suggests a trend of reduced entrepreneurial activity in population, which is typically stimulated by having sufficient number of workers seeking new income opportunities, in addition or instead of favoring stable employment at large corporations.	Low levels of economic complexity are accompanied by high levels of income inequality because the structure of the economy is less inclusive and economic power more concentrated. Thus, redistributive policies to achieve lower income inequality have hard limits and must be accompanied by efforts to diversify the economy (Hartmann et al., 2016)	2	False	non-plagiarism	1980 ten year later number household drop 85 243 suggest trend reduc entrepreneuri activ popul typic stimul suffici number worker seek incom opportun addit instead favor stabl employ larg corpor	low level complex accompani high level incom inequ structur economi less inclus power concentr thu redistribut polici achiev lower incom inequ hard limit must accompani effort diversifi economi hartmann et al 2016
economy	Now that all the inputs behind each of the incentive and disincentives have been described, it's time to present the way in which the incentive/disincentives of future profitability, conspicuity, and max punishment produce the final MNC decision. The corporate calculus is:	The ECI is a new measure of underlying productive structures, but prior endogenous growth models have also emphasized the importance of knowledge accumulation as well as product diversification and specialization as critical drivers of economic growth (Natarajan, 2013). In this respect, the ECI is not revolutionary as much as it is evolutionary as it attempts to quantify the productive knowledge in a given country’s economy by observing the goods it produces.	2	False	non-plagiarism	input behind incent disincent describ time present way incent disincent futur profit conspicu max punish produc final mnc decis corpor calculu	eci measur underli product structur prior endogen growth model also emphas import knowledg accumul well product diversif special critic driver growth natarajan 2013 respect eci revolutionari much evolutionari attempt quantifi product knowledg given countri economi observ good produc
health	‘There was no record of the disease being so virulent anywhere else or causing so many deaths at it did in Athens,’ wrote Thucydides, and we have no reason to doubt him. This is a critical bit of information	‘There was no record of the disease being so virulent anywhere else or causing so many deaths at it did in Athens,’ wrote Thucydides, and we have no reason to doubt him	2	True	partial literal	record diseas virul anywher els caus mani death athen wrote thucydid reason doubt critic bit inform	record diseas virul anywher els caus mani death athen wrote thucydid reason doubt
economy	This decrease in loans took place despite a major decrease in a number of reported bankruptcies in late 80’s, with a staggering ~75% drop in just 5 years between 1985 and 1990 (Table 6-17 in reference [37]). One can suggest that this decrease indicates a healthier economic climate which helps new businesses survive; however, since its onset occurred in 1985 when the economy of big enterprises started to collapse, the “positive” trend most likely is another indicator of a dramatic slowdown in entrepreneurial activity in Japan, simply because small businesses are much more susceptible to bankruptcy	(2016). The structural constraints of income inequality in Latin America	2	False	non-plagiarism	decreas loan took place despit major decreas number report bankruptci late 80 stagger 75 drop 5 year 1985 1990 tabl 6-17 refer 37 one suggest decreas indic healthier help busi surviv howev sinc onset occur 1985 economi big enterpris start collaps posit trend like anoth indic dramat slowdown entrepreneuri activ japan simpli small busi much suscept bankruptci	2016 structur constraint incom inequ latin america
economy	Although, the Ports of Ashdod and Haifa are cheaper than the Jordanian Port when the ship sails from African, American, or European ports. Due to security related costs and lower shipping costs to the Israeli Ports, Palestinians are dependent upon Israeli ports for trade facilitation	The PNA is also dependent upon development focused foreign aid from developed countries and the United Nations to fill the government’s budget (Springer, 2015, p. 4)	2	False	non-plagiarism	although port ashdod haifa cheaper jordanian port ship sail african american european port due secur relat cost lower ship cost isra port palestinian depend upon isra port trade facilit	pna also depend upon develop focus foreign aid develop countri unit nation fill govern budget springer 2015 p 4
history	Some spells involve making dolls, which were intended to represent the object of desire (usually a woman who was either unaware or resistant to a would-be admirer). Instructions specified how an erotic doll should be made, what words should be said over it, and where it should be deposited.	On the death of Antoninus Pius in March 161, Marcus Aurelius became emperor and made Lucius Verus his colleague in government, keeping with Hadrian’s original designs. They ruled jointly until Lucius’ death in January 169	2	False	non-plagiarism	spell involv make doll intend repres object desir usual woman either unawar resist would-b admir instruct specifi erot doll made word said deposit	death antoninu piu march 161 marcu aureliu becam emperor made luciu veru colleagu govern keep origin design rule jointli luciu death januari 169
history	The network drew on several substantial artefact datasets, many encompassing both legacy data (i.e. non-digital data from old excavations) and data from recent excavations, such as those from the abandoned first-century CE Italian urban site of Pompeii, well-preserved or extensive military sites in the NW provinces (e.g. Nijmegen, Vindolanda, and sites on the Antonine Wall in Scotland), and large assemblages from other urban sites which are the product of more typical archaeological site formation processes (e.g. London and Colchester in Britain, Libarna in northern Italy, and cities in the East).	The network drew on several substantial artefact datasets, many encompassing both legacy data (i.e. non-digital data from old excavations) and data from recent excavations, such as those from the abandoned first-century CE Italian urban site of Pompeii, well-preserved or extensive military sites in the NW provinces (e.g. Nijmegen, Vindolanda, and sites on the Antonine Wall in Scotland), and large assemblages from other urban sites which are the product of more typical archaeological site formation processes (e.g. London and Colchester in Britain, Libarna in northern Italy, and cities in the East).	4	True	literal	network drew sever substanti artefact dataset mani encompass legaci data e non-digit data old excav data recent excav abandon first-centuri ce italian urban site pompeii well-preserv extens militari site nw provinc e g nijmegen vindolanda site antonin wall scotland larg assemblag urban site product typic archaeolog site format process e g london colchest britain libarna northern itali citi east	network drew sever substanti artefact dataset mani encompass legaci data e non-digit data old excav data recent excav abandon first-centuri ce italian urban site pompeii well-preserv extens militari site nw provinc e g nijmegen vindolanda site antonin wall scotland larg assemblag urban site product typic archaeolog site format process e g london colchest britain libarna northern itali citi east
economy	If there are clear material benefits at stake, as in the Soviet threat of the 1970s, there are reasonable grounds to posit that states may be willing to pursue self-interest before considering less immediate and non-threatening problems, such as ideology. As this paper will show, the AEC is a powerful force promoting peace in the Southeast Asian region	Conversely, a lower ECI indicates low diversity and high levels of ubiquity in the goods a country produces.	2	False	non-plagiarism	clear materi benefit stake soviet threat 1970 reason ground posit state may pursu self-interest consid less immedi non-threaten problem ideolog paper show aec power forc promot peac southeast asian region	convers lower eci indic low divers high level ubiqu good countri produc
environment	Clean liquid fuel sourced from renewable feedstocks are used for cooking and lighting in energy-poor areas of the developing world. Alcohol fuels (ethanol and methanol) can be produced sustainably from non-food sugary, starchy, and cellulosic feedstocks	This requires far-reaching, systemic changes on an unprecedented scale in energy, land, cities, transport, buildings, and industry. Scenarios that limit global warming to 1.5 °C often describe reaching net negative emissions at some point	2	False	non-plagiarism	clean liquid fuel sourc renew feedstock use cook light energy-poor area develop world alcohol fuel ethanol methanol produc sustain non-food sugari starchi cellulos feedstock	requir far-reach system chang unpreced scale land citi transport build industri scenario limit global warm 1 5 c often describ reach net neg emiss point
economy	1). Israel alleviated the near total blockade in May of 2010; On July 6th, 2010 Israel announced 23 categories of items the IDF would restrict Gazans from importing with the existing dual-use goods list the IDF outlined in 2008 for the Gaza Strip and West Bank (Gisha, 2016, p	When companies import chemical products on the dual-use goods list, firms apply for “dealer permits” from the Israeli Civil Administration and Israeli Security Administration, who perform background checks on the firms (World Bank, 2019, p. 16)	2	False	non-plagiarism	1 israel allevi near total blockad may 2010 juli 6th 2010 israel announc 23 categori item idf would restrict gazan import exist dual-us good list idf outlin 2008 gaza strip west bank gisha 2016 p	compani import chemic product dual-us good list firm appli dealer permit isra civil administr isra secur administr perform background check firm world bank 2019 p 16
environment	There are different variants of climate denial: some deny that warming takes place at all, some acknowledge warming but attribute it to natural influences, and some minimise the negative impacts of climate change. Manufacturing uncertainty about the science later developed into a manufacturing controversy: creating the belief that there is significant uncertainty about climate change within the scientific community in order to delay policy changes. Strategies to promote these ideas include criticism of scientific institutions, and questioning the motives of individual scientists. An echo chamber of climate-denying blogs and media has further fomented misunderstanding of climate change.	Temperature rise on land is about twice the global average increase, leading to desert expansion and more common heat waves and wildfires. Temperature rise is also amplified in the Arctic, where it has contributed to melting permafrost, glacial retreat and sea ice loss	4	False	non-plagiarism	differ variant denial deni warm take place acknowledg warm attribut natur influenc minimis neg impact chang manufactur uncertainti scienc later develop manufactur controversi creat belief signific uncertainti chang within scientif commun order delay polici chang strategi promot idea includ critic scientif institut question motiv individu scientist echo chamber climate-deni blog media foment misunderstand chang	temperatur rise land twice global averag increas lead desert expans common heat wave wildfir temperatur rise also amplifi arctic contribut melt permafrost glacial retreat sea ice loss
economy	Alatas connects the image of the lazy Malay as an integral functionary in colonial ideology. Much to the same, DMV draws on a supporting ideology of superiority/inferiority of peoples.	Although the above regression analysis showed that Polity IV was not statistically significant at α = 0.1 for Indonesia, it still warrants mentioning. For much of the time period under consideration (1970-2013), Indonesia was considered an authoritarian regime, and only since Suharto’s resignation in 1998 after the Asian Financial Crisis (AFC) have we seen a strengthening of democratic processes that culminated in genuine elections. The Polity IV rose from -7 (autocracy) in 1997 to 6 (democracy) in 2004 after the presidential election. Note that from 1997 to 2013, there was no substantial improvement in economic complexity, but income inequality still fell from 48.98 to 39.47.	2	False	non-plagiarism	alata connect imag lazi malay integr functionari coloni ideolog much dmv draw support ideolog superior inferior peopl	although regress analysi show politi iv statist signific 0 1 indonesia still warrant mention much time period consider 1970-2013 indonesia consid authoritarian regim sinc suharto resign 1998 asian financi crisi afc seen strengthen democrat process culmin genuin elect politi iv rose -7 autocraci 1997 6 democraci 2004 presidenti elect note 1997 2013 substanti improv complex incom inequ still fell 48 98 39 47
economy	A complex hierarchy of relationships and mixed personal-cast-institutional dependencies in Japanese society has been established over the course of many centuries. The economic path towards establishment of large, highly integrated corporations with life-long employment contracts was a natural “culturally-driven” process for Japan, which brought significant economic benefits and competitive advantages during the period of rapid post-World War II industrialization	Elkhafif, M., Misyef, M., & Elagraa, M. (2014)	2	False	non-plagiarism	complex hierarchi relationship mix personal-cast-institut depend japanes societi establish cours mani centuri path toward establish larg highli integr corpor life-long employ contract natur culturally-driven process japan brought signific benefit competit advantag period rapid post-world war ii industri	elkhafif misyef elagraa 2014
economy	Arthritic Japan the Slow pace of Economic Reform. Washington, D.C.: Brookings Institution Press, 2001	rheumatoid Japan the Slow pace of Economic regenerate Washington five hundred C : Brookings Institution fourth estate 2001	2	True	structural change	arthrit japan slow pace reform washington c brook institut press 2001	rheumatoid japan slow pace regener washington five hundr c brook institut fourth estat 2001
economy	Because the security scanner at the KHB only handles products on pallets rather than larger shipping containers, merchants at the Port of Aqaba move products from large containers to pallets no taller than 160cm (Palestine Trade Center, 2013, p. 99)	Because the security scanner in KHB only handles products on pallets rather than larger shipping containers, traders in the aqaba product port moves from large containers to pallets not higher than 160cm (Palestine Trade Center, 2013, p. 99) 	2	True	paraphrase	secur scanner khb handl product pallet rather larger ship contain merchant port aqaba move product larg contain pallet taller 160cm palestin trade center 2013 p 99	secur scanner khb handl product pallet rather larger ship contain trader aqaba product port move larg contain pallet higher 160cm palestin trade center 2013 p 99
health	That the dietary “fat” found in olive oil, bacon and butter is branded with the same word as the unwanted flesh around our middles made it all the easier to demonise.	But anecdotes are known to be a treacherous way to evaluate medical treatments, since they are so subject to bias; they can suggest hypotheses to be studied, but they cannot prove them. That is why the development of the double-blind, randomized, placebo-controlled clinical trial in the middle of the past century was such an important advance in medical science	1	False	non-plagiarism	dietari fat found oliv oil bacon butter brand word unwant flesh around middl made easier demonis	anecdot known treacher way evalu medic treatment sinc subject bia suggest hypothes studi cannot prove develop double-blind random placebo-control clinic trial middl past centuri import advanc medic scienc
health	The first was Thorazine (chlorpromazine), which was launched in 1954 as a “major tranquilizer” and quickly found widespread use in mental hospitals to calm psychotic patients, mainly those with schizophrenia. Thorazine was followed the next year by Miltown (meprobamate), sold as a “minor tranquilizer” to treat anxiety in outpatients	"""The first is Thorazine (chlorpromazine), which was launched in 1954 as a """"main tranquilizer"""" and quickly found widespread use in a mental hospital to calm psychotic patients, especially those who suffer from schizophrenia. Thorazine followed next year by Miltown (Meprobamate), sold as a """"small sedative"""" to treat anxiety in outpatients """	2	True	paraphrase	first thorazin chlorpromazin launch 1954 major tranquil quickli found widespread use mental hospit calm psychot mainli schizophrenia thorazin follow next year miltown meprobam sold minor tranquil treat anxieti outpati	first thorazin chlorpromazin launch 1954 main tranquil quickli found widespread use mental hospit calm psychot especi suffer schizophrenia thorazin follow next year miltown meprobam sold small sed treat anxieti outpati
environment	In the United States, there was a large partisan gap in opinion.	In the United States, there are major partisan gaps in opinion. 	1	True	paraphrase	unit state larg partisan gap opinion	unit state major partisan gap opinion 
health	Looking at epidemics and pandemics through this evolutionary lens makes it clear that the most important condition necessary for the evolution of virulent, transmissible disease is the existence of a human disease factory. Without social conditions that allow the evolution of virulent, transmissible disease, deadly outbreaks are unlikely to emerge.	“It’s just ridiculous,” he says with exasperation and a touch of venom. “People are living with real pain and guilt and all they get is advice that is confused or just plain wrong.”	2	False	non-plagiarism	look epidem pandem evolutionari len make clear import condit necessari evolut virul transmiss diseas exist human diseas factori without social condit allow evolut virul transmiss diseas deadli outbreak unlik emerg	ridicul exasper touch venom peopl live real pain guilt get advic confus plain wrong
technology	To overcome the spatial and low frequency limitations, the research team came up with an array in which eight STOs are connected in series. Using this array, the 2.4 GHz electromagnetic radio waves that WiFi uses was converted into a direct voltage signal, which was then transmitted to a capacitor to light up a 1.6-volt LED. When the capacitor was charged for five seconds, it was able to light up the same LED for one minute after the wireless power was switched off.	With a battery — even a state-of-the-art one — it would run for a few seconds at best, he estimates.	3	False	non-plagiarism	overcom spatial low frequenc limit research team came array eight sto connect seri use array 2 4 ghz electromagnet radio wave wifi use convert direct voltag signal transmit capacitor light 1 6-volt led capacitor charg five second abl light led one minut wireless power switch	batteri even state-of-the-art one would run second best estim
health	That second crisis forced Camacho belatedly to deal with the trauma of the first. To help with what he now understands was post-traumatic stress disorder, he started having counselling and taking anti-depressants and anti-anxiety drugs. To address his physical health, he tried to lose weight. This effort propelled him to the centre of one of the most fraught scientific debates of our age: the calorie wars, a fierce disagreement about diet and weight control.	The second crisis forced Camacho to be late to deal with the first trauma. To help with what he now understands is a post-traumatic stress disorder, he starts to have counseling and use anti-depression and anti-anxiety. To overcome his physical health, he tried to lose weight. This effort encourages it to the center of one of the most full scientific debates about our age: calorie war, fierce disagreement about diet and weight control. 	4	True	paraphrase	second crisi forc camacho belatedli deal trauma first help understand post-traumat stress disord start counsel take anti-depress anti-anxieti drug address physic health tri lose weight effort propel centr one fraught scientif debat age calori war fierc disagr diet weight control	second crisi forc camacho late deal first trauma help understand post-traumat stress disord start counsel use anti-depress anti-anxieti overcom physic health tri lose weight effort encourag center one full scientif debat age calori war fierc disagr diet weight control 
environment	Floating solar arrays are PV systems that float on the surface of drinking water reservoirs, quarry lakes, irrigation canals or remediation and tailing ponds. A small number of such systems exist in France, India, Japan, South Korea, the United Kingdom, Singapore, and the United States	Floating solar arrays are PV systems that float on the surface of drinking water reservoirs, quarry lakes, irrigation canals or remediation and tailing ponds	2	True	partial literal	float solar array pv system float surfac drink water reservoir quarri lake irrig canal remedi tail pond small number system exist franc india japan south korea unit kingdom singapor unit state	float solar array pv system float surfac drink water reservoir quarri lake irrig canal remedi tail pond
covid19	The mean (±SD) read depth was 2481±1558 reads per base. Assembled genomic regions are indicated by shaded areas colored according to patient, and gaps in coverage are indicated by white areas	In this respect, it will be important to identify specific risk factors for steroid toxicity that put people at risk for SARS-CoV-2 infection. With the limitations of a single-center, cross-sectional study, this report provides important information in the identification of kidney transplant patients in whom preventive strategies should be reinforced the most.	2	False	non-plagiarism	mean sd read depth 24811558 read per base assembl genom region indic shade area color accord patient gap coverag indic white area	respect import identifi specif risk factor steroid toxic put peopl risk sars-cov-2 limit single-cent cross-sect report provid import inform identif kidney transplant prevent strategi reinforc
technology	"""Jaguars at Texans. Before I decided to once again spend 1,600 words sniffing my own rectum, I was originally going to start this column with a thought project: Who is the next Bill Cosby? I don't mean """"who will start systematically drugging and assaulting women over a 40 year period,"""" because we all know that's obviously going to be Jonah Hill"""	"""Jaguars at Texans. Before I decided to once again spend 1,600 words sniffing my own rectum, I was originally going to start this column with a thought project: Who is the next Bill Cosby? I don't mean """"who will start systematically drugging and assaulting women over a 40 year period,"""" because we all know that's obviously going to be Jonah Hill"""	2	True	literal	jaguar texan decid spend 1 600 word snif rectum origin go start column thought project next bill cosbi mean start systemat drug assault women 40 year period know obvious go jonah hill	jaguar texan decid spend 1 600 word snif rectum origin go start column thought project next bill cosbi mean start systemat drug assault women 40 year period know obvious go jonah hill
environment	The next step or preferred action is to seek alternative uses for the waste that has been generated i.e. by re-use	With this, the paper is able to measure the causal effect of the carbon tax on the aggregate manufacturing sector since its introduction in 2014. Figure 1 plots the carbon tax on the left axis (green line) together with the impacts of the carbon tax on the French manufacturing sector’s jobs (purple line) and carbon emissions (red line) on the right axis. In five years, the carbon tax decreased carbon emissions by 5%. The net effect on employment is much smaller in magnitude and even slightly positive at +0.8%.	2	False	non-plagiarism	next step prefer action seek altern use gener e re-us	paper abl measur causal effect tax aggreg manufactur sector sinc introduct 2014 figur 1 plot tax left axi green line togeth impact tax french manufactur sector job purpl line emiss red line right axi five year tax decreas emiss 5 net effect employ much smaller magnitud even slightli posit 0 8
geography	The atmosphere interacts with other spheres of the climate system, with winds generating ocean currents that transport heat around the globe.	This work commented on the effect of climate on human health and cultural differences between Asia and Europe. This idea that climate controls which countries excel depending on their climate, or climatic determinism, remained influential throughout history	1	False	non-plagiarism	atmospher interact sphere system wind gener ocean current transport heat around globe	work comment effect human health cultur differ asia europ idea control countri excel depend climat determin remain influenti throughout histori
health	But the main problem with the theory is that after decades of trying to prove it, researchers have still come up empty-handed. All three authors document the failure of scientists to find good evidence in its favor. Neurotransmitter function seems to be normal in people with mental illness before treatment. In Whitaker’s words:	That is a startling conclusion that flies in the face of widely accepted medical opinion, but Kirsch reaches it in a careful, logical way. Psychiatrists who use antidepressants—and that’s most of them—and patients who take them might insist that they know from clinical experience that the drugs work	4	False	non-plagiarism	main problem theori decad tri prove research still come empty-hand three author document failur scientist find good evid favor neurotransmitt function seem normal peopl mental ill treatment whitak word	startl conclus fli face wide accept medic opinion kirsch reach care logic way psychiatrist use antidepressantsand themand take might insist know clinic experi drug work
history	These marker stones must have been posted at regular intervals along the aqueduct’s course as both inscriptions were found 6 kilometres apart.	These spidol stones must have been posted regularly throughout the Aqueduct course because both inscriptions were found 6 kilometers apart. 	1	True	paraphrase	marker stone must post regular interv along aqueduct cours inscript found 6 kilometr apart	spidol stone must post regularli throughout aqueduct cours inscript found 6 kilomet apart 
technology	Kline typed a G, at which point the system crashed, and the connection was lost. The G didn't make it through, which meant that, quite by accident, the first message ever transmitted across the nascent internet turned out, after all, to be fittingly biblical:	Kline typed a G, at which point the system crashed, and the connection was lost	2	True	partial literal	kline type g point system crash connect lost g make meant quit accid first messag ever transmit across nascent internet turn fittingli biblic	kline type g point system crash connect lost
biology	"""The RNA-lipid nanoparticles formulations were introduced into the animals intravenously, leading to liver-specific uptake and transient production of the base editor tool by the cell machinery. """"Up to two-thirds of PCSK9 genes were edited in the mice and up to one-third in the non-human primates, leading to a significant reduction in LDL cholesterol levels,"""" says Schwank. In addition, the scientists carefully assessed whether unspecific editing at undesired locations occurred, but found no indications of such off-target events."""	In a next step, the group at Helmholtz Zentrum München will study the impact of HERV deactivation in neurons in the context of disease.	3	False	non-plagiarism	rna-lipid nanoparticl formul introduc anim intraven lead liver-specif uptak transient product base editor tool cell machineri two-third pcsk9 gene edit mice one-third non-human primat lead signific reduct ldl cholesterol level schwank addit scientist care assess whether unspecif edit undesir locat occur found indic off-target event	next step group helmholtz zentrum mnchen impact herv deactiv neuron context diseas
